BANSKOBYSTRICKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
OKRES BANSKÁ BYSTRICA;;;;;;;;;;;;;;;;;;;;;;;;;
Hontianske Nemce;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;;;;;;5;100.0;20.0;0.0;0.0;100.0;32;6.4;
Hontianske Tesáre;obec;;;;;;;;;;;;áno;nie;áno;čiastočne;49;69.4;100.0;0.0;0.0;100.0;253;5.2;29.2
Hontianske Tesáre;obec;intravilán;mimo obce;200;;čiastočne vysporiadané;áno;nie;áno;nie;áno;iná;;;;;20;25.0;100.0;0.0;0.0;100.0;96;4.8;
Hontianske Tesáre;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;;;;;29;100.0;100.0;0.0;0.0;100.0;157;5.3;
Horné Mladonice;obec;intravilán;mimo obce;70;;nevysporiadané;nie;nie;nie;nie;áno;iná;áno;nie;áno;nie;6;66.7;0.0;0.0;0.0;0.0;24;4.8;13.1
Krupina;mesto;;;;;;;;;;;;áno;čiastočne;áno;áno;19;100.0;63.2;63.2;63.2;100.0;238;12.5;3.0
Krupina;mesto;extravilán;mimo obce;1200;;vysporiadané;áno;áno;áno;nie;áno;asfaltová;;;;;7;100.0;0.0;0.0;0.0;100.0;25;3.6;
Krupina;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;áno;áno;áno;áno;;;;;;12;100.0;100.0;100.0;100.0;100.0;213;17.8;
Lišov;obec;;;;;;;;;;;;áno;nie;áno;nie;12;100.0;0.0;0.0;0.0;100.0;68;5.8;28.6
Lišov;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;nie;nie;áno;nie;áno;;;;;;7;100.0;0.0;0.0;0.0;100.0;33;5.0;
Lišov;obec;intravilán;na okraji;;;vysporiadané;nie;nie;áno;nie;áno;iná;;;;;5;100.0;0.0;0.0;0.0;100.0;45;9.0;
Litava;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;asfaltová;áno;čiastočne;áno;nie;26;23.1;15.4;0.0;0.0;100.0;210;8.1;25.0
Medovarce;obec;intravilán;na okraji;;;vysporiadané;áno;nie;áno;nie;áno;iná;áno;nie;áno;nie;15;100.0;100.0;0.0;0.0;93.3;91;6.1;36.4
Sebechleby;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;nie;áno;;áno;áno;áno;áno;8;100.0;75.0;100.0;12.5;100.0;89;9.1;7.4
Sudince;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;nie;nie;áno;nie;7;100.0;0.0;0.0;0.0;85.7;27;3.6;40.3
Súdovce;obec;;;;;;;;;;;;nie;nie;áno;nie;13;69.2;53.8;0.0;0.0;92.3;120;9.2;59.1
Súdovce;obec;intravilán;mimo obce;200;;čiastočne vysporiadané;nie;nie;áno;nie;áno;iná;;;;;5;20.0;40.0;0.0;0.0;80.0;*;*;
Súdovce;obec;intravilán;integrované/rozptýlené;;;vysporiadané;nie;nie;áno;nie;áno;;;;;;8;100.0;62.5;0.0;0.0;100.0;*;*;
