TRNAVSKÝ  KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Zemianske Sady;obec;;;;;;;;;;;;áno;čiastočne;áno;áno;14;92.9;64.3;21.4;42.9;100.0;81;5.8;9.3
Zemianske Sady;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;čiastočne;áno;áno;áno;;;;;;9;100.0;100.0;33.3;66.7;100.0;48;5.3;
Zemianske Sady;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;nie;áno;žiadna;;;;;5;80.0;0.0;0.0;0.0;100.0;33;6.6;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES HLOHOVEC;;;;;;;;;;;;;;;;;;;;;;;;;
Dvorníky ;obec;;;;;;;;;;;;áno;nie;áno;áno;52;71.2;100.0;0.0;100.0;100.0;230;4.8;11.7
Dvorníky ;obec;intravilán;integrované/koncentrované;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;iná;;;;;30;50.0;100.0;0.0;100.0;100.0;130;5.0;
Dvorníky ;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;22;100.0;100.0;0.0;100.0;100.0;100;4.5;
Horné Zelenice;obec;;;;;;;;;;;;áno;nie;áno;áno;25;100.0;80.0;0.0;72.0;100.0;117;4.7;17.9
Horné Zelenice;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;;;;;12;100.0;100.0;0.0;100.0;100.0;63;5.3;
Horné Zelenice;obec;intravilán;na okraji;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;iná;;;;;13;100.0;61.5;0.0;46.2;100.0;54;4.2;
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES PIEŠŤANY;;;;;;;;;;;;;;;;;;;;;;;;;
Drahovce;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;čiastočne;áno;áno;áno;asfaltová;áno;čiastočne;áno;áno;4;100.0;100.0;0.0;100.0;100.0;55;10.0;1.0
Moravany nad Váhom;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;7;100.0;100.0;0.0;0.0;100.0;29;4.1;1.4
Piešťany;mesto;;;;;;;;;;;;áno;áno;áno;áno;42;100.0;100.0;100.0;100.0;100.0;367;8.7;1.2
Piešťany;mesto;intravilán;integrované/koncentrované;;;vysporiadané;áno;áno;áno;áno;áno;asfaltová;;;;;5;100.0;100.0;100.0;100.0;100.0;37;7.4;
Piešťany;mesto;intravilán;integrované/rozptýlené;;;vysporiadané;áno;áno;áno;áno;áno;;;;;;37;100.0;100.0;100.0;100.0;100.0;330;8.9;
