NITRIANSKY KRAJ ;;;;;;;;;;;;;;;;;;;;;;;;;
;;Charakteristiky osídlenia;;;;;Infraštruktúra v rómskych osídleniach;;;;;;Infraštruktúra majority;;;;Obydlia v rómskych osídleniach;;;;;;Obyvatelia rómskych osídlení;;
;;;;;;;Dostupnosť inžinierskych sietí;;;;Verejné osvetlenie;Prístupová cesta;Dostupnosť inžinierskych sietí v obci;;;;Celkový počet obydlí;Podiel legálnych obydlí;Podiel obydlí napojených na inžinierske siete;;;;Počet obyvateľov   ;;Podiel na celkovom počte obyvateľov
Názov obce;Mesto/ obec;Lokalizácia osídlenia;Poloha osídlenia;Vzdialenosť osídlenia (v m);Bariéra;Vysporiadanosť pozemkov;Vodovod ;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Elektrina;Plyn;;;Vodovod;Kanalizácia;Plyn;Elektrina;V osídlení;Pripadajúcich na jedno obydlie;
Nitra;mesto;intravilán;integrované/koncentrované;;cesta;vysporiadané;áno;čiastočne;áno;áno;áno;iná;;;;;53;77.4;77.4;60.4;54.7;*;517;11.3;
Nitrianske Hrnčiarovce;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;nie;áno;áno;áno;;áno;čiastočne;áno;áno;6;100.0;0.0;0.0;0.0;66.7;27;9.5;1.5
Nová Ves nad Žitavou;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;7;100.0;0.0;0.0;14.3;100.0;46;6.6;0.3
Svätoplukovo;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;áno;áno;áno;áno;;áno;áno;áno;áno;23;100.0;87.0;8.7;87.0;100.0;145;6.3;11.4
Telince;obec;intravilán;integrované/rozptýlené;;;nevysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;11;100.0;9.1;0.0;0.0;90.9;61;5.5;21.0
Veľké Zálužie;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;čiastočne;áno;áno;áno;asfaltová;áno;čiastočne;áno;áno;37;100.0;100.0;8.1;81.1;100.0;308;*;7.7
Vinodol;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;23;100.0;87.0;0.0;52.2;100.0;286;12.4;15.2
Vráble;mesto;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;áno;áno;nie;áno;;áno;áno;áno;áno;36;100.0;30.6;30.6;0.0;100.0;160;*;1.7
Žirany;obec;intravilán;integrované/koncentrované;;;vysporiadané;áno;nie;áno;čiastočne;áno;asfaltová;áno;čiastočne;áno;áno;6;100.0;0.0;0.0;50.0;100.0;60;10.0;4.5
;;;;;;;;;;;;;;;;;;;;;;;;;
OKRES NOVÉ ZÁMKY;;;;;;;;;;;;;;;;;;;;;;;;;
Bajtava;obec;intravilán;integrované/rozptýlené;;;vysporiadané;áno;nie;áno;nie;áno;;áno;nie;áno;nie;5;100.0;40.0;0.0;0.0;100.0;20;4.4;5.2
Bánov;obec;intravilán;integrované/rozptýlené;;;čiastočne vysporiadané;áno;nie;áno;áno;áno;;áno;nie;áno;áno;13;100.0;38.5;0.0;38.5;100.0;80;6.2;2.1
